epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,66.874,0.64982,6.62975,1.36862,1.07566,0.68478,0.66507,0.72896,0.47289,0.69044,0.18333,0.18214,0.01821,1.62207,5.15562,1.70101,1.3793,2.93869e-05,2.93869e-05,2.93869e-05
45,68.4008,0.62801,6.44496,1.25554,1.01711,0.76127,0.57593,0.72897,0.475,0.98991,0.01667,0.01632,0.00163,1.619,5.15841,1.71338,1.37509,2.9552e-05,2.9552e-05,2.9552e-05
46,69.879,0.7782,6.03523,1.54324,1.21431,0.76127,0.57593,0.72897,0.475,0.98991,0.01667,0.01632,0.00163,1.619,5.15841,1.71338,1.37509,2.96935e-05,2.96935e-05,2.96935e-05
47,71.2362,0.54447,6.36155,1.43922,1.01658,0.65919,0.6661,0.63151,0.39844,0.25535,0.18333,0.09925,0.01156,1.62214,5.1598,1.75595,1.37335,2.98114e-05,2.98114e-05,2.98114e-05
48,72.6156,0.83635,5.99829,2.01033,1.15444,0.65919,0.6661,0.63151,0.39844,0.25535,0.18333,0.09925,0.01156,1.62214,5.1598,1.75595,1.37335,2.99058e-05,2.99058e-05,2.99058e-05
49,74.0575,0.60308,6.2427,1.07626,1.09706,0.59236,0.49715,0.57716,0.35526,0.98975,0.01667,0.03707,0.00949,1.64095,5.1581,1.75898,1.3761,2.99766e-05,2.99766e-05,2.99766e-05
50,75.3852,0.62247,5.85448,0.92226,1.13671,0.59236,0.49715,0.57716,0.35526,0.98975,0.01667,0.03707,0.00949,1.64095,5.1581,1.75898,1.3761,3.00238e-05,3.00238e-05,3.00238e-05
51,76.7989,0.63421,5.95725,1.14209,1.04746,0.5936,0.49658,0.56439,0.34374,0.98947,0.01667,0.03706,0.00949,1.6274,5.1594,1.77264,1.36736,3.00475e-05,3.00475e-05,3.00475e-05
52,78.2635,0.51461,6.02116,1.05018,0.97234,0.5936,0.49658,0.56439,0.34374,0.98947,0.01667,0.03706,0.00949,1.6274,5.1594,1.77264,1.36736,3.00476e-05,3.00476e-05,3.00476e-05
53,79.656,0.5367,6.17337,0.73225,1.01066,0.5936,0.49658,0.56439,0.34374,0.98947,0.01667,0.03706,0.00949,1.6274,5.1594,1.77264,1.36736,3.00242e-05,3.00242e-05,3.00242e-05
